"conv_id","dialogue","summary"
"b065262210783596c1fe79466b8f8985","","Customer enquired about his Iphone and Apple watch which is not showing his any steps/activity and health activities. Agent is asking to move to DM and look into it."
"1e1d8fd4f95c984fb78687c9e946dc97","","Customer is eager to know about the replacement policy on the earphones he wishes to buy. Agent stated that it only applies if the received item is defective or damaged."
"b5773077fa55c381260390472deff4c2","","Signed up for an AmexCard with Delta but it didn't go through. Told to phone the new accounts team."
"3574d6b4418cb546a90d1561bacd66a2","","The customer have a problem. The agent is very cordial and offers to follow up on the case."
"f30d2bbc15e7ff32244761b38b67d160","","Customer cannot purchase a train ticket on the rail providers site since the revamp. Will report the issue to the development team."
"20327b84e8b6c205b7ad7e56b2861c66","","The client is visibly upset with the service. The agent cannot help the customer."
"78dcc694d8c4a59a870ef61b746994f7","","Tesco's website is badly set up and crashing a person's computer. The agent asks for intrusive personal details to log the problem which the customer refuses to provide  so the agent does not do anything helpful at all."
"6fc68bfd953819cf6ec1329b4e6831ac","","Customer is enquiry about the latest android version of samsung. Agent inform that they will going to update once samsung updates."
"01a14bf0dff4f25a0ee571acf08d779e","","Customer is asking whether he needs to install Xbox live membership if he buy a digital code. Agent updated that there is no need of Xbox live gold subscription if they purchase a digital game."
"d63f8327d930c484d1a1e5b2c919315c","","Customer wants to change address ordered items are shipped to, and it only updated for 2 out of 3 items. The third items is with a seller on the site who will need a bit longer to respond and do the update."
"08faf4ed9a4ba7d62725d72ddd974674","","Customer bought a tin of biscuits and the use by date was old. Wants a photo of the tin and date and how much they cost then they'll explain what happens next."
"e4e792473968e59f462a339f279772c4","","The customer has a big problem and is visibly upset about it. The agent tries to handle the situation in the most professional way possible."
"36686816af9b1c053d72b68acc2311a6","","Wants to know the time of the next train because the info board at the station is just showing delayed. Gives the time of the required train and will report the fault of the display board."
"58e3bd95a270418d9fd823c4771f8641","","The customer have a big problem. The agent tried to solve the problem and offers choices to the customer."
"51423ed0d89ade7daac40961d054f3ee","","Flight delayed due to crew fighting, the company not keeping customers updated with expected departure time. Provides an estimated departure time but only as the customer is boarding so would have that information already."
"3485760e07a49771e073f91242ca17ea","","Amazon pantry order was delayed by 7 days but refund is being held up. Looking into the problem."
"7d4115d8a17e573a03addd3903a4467d","","Customer bought prime membership with a gift card and wants to know if he is eligible for the cashback offer. Offers a link to a secure place to look into this issue."
